"id_lieu","id_local","nom_lieu","ad_lieu","com_lieu","insee","type","date_maj","ouvert","source","Xlong","Ylat","nbre_pl","nbre_pmr","duree","horaires","proprio","lumiere","comm"
"34243-C-007","C-007","Stade - Nord","","Saint-Bauzille-de-Putois","34243","Auto-stop","2020-11-10","true","810157982","3.7393880","43.8903890","","","","","","false",""
"12212-C-001","C-001","Arrêt de bus","Grande route","Saint-Beaulize","12212","Auto-stop","2019-09-17","true","810157982","3.1101090","43.8957670","","","","","","true",""
"12212-C-002","C-002","Route de Saint Beaulize","Route de Saint Beaulize","Saint-Beaulize","12212","Auto-stop","2019-09-17","true","810157982","3.1078201","43.8981939","","","","","","true",""
"12213-C-001","C-001","Azinières - Chemin de Vayssede","RD 30","Saint-Beauzély","12213","Auto-stop","2018-03-26","true","810157982","2.9869000","44.1521000","","","","","","true",""
"12213-C-002","C-002","Embranchement RD911","RD 30","Saint-Beauzély","12213","Auto-stop","2018-03-26","true","810157982","3.0068300","44.1532000","","","","","","false",""
"12213-C-003","C-003","Avenue Déodat Alaus","Avenue Déodat Alaus","Saint-Beauzély","12213","Auto-stop","2018-03-26","true","810157982","2.9590000","44.1672000","","","","","","true",""
"12213-C-004","C-004","Route de Salles Curan","Avenue Déodat Alaus","Saint-Beauzély","12213","Auto-stop","2018-03-26","true","810157982","2.9571000","44.1627000","","","","","","true",""
"12213-C-005","C-005","Azinières - D30","RD 30","Saint-Beauzély","12213","Auto-stop","2018-03-26","true","810157982","2.9879000","44.1517000","","","","","","true",""
"38367-C-001","C-001","Le Pelloux","","Saint-Bernard","38367","Auto-stop","2017-10-17","true","810157982","5.9038700","45.3283600","","","","","","false",""
"38367-C-002","C-002","le Prayer","","Saint-Bernard","38367","Auto-stop","2020-01-17","true","810157982","5.8967210","45.3244980","","","","","","false",""
"38367-C-003","C-003","Col d Marcieu","","Saint-Bernard","38367","Auto-stop","2017-10-17","true","810157982","5.9178700","45.3536600","","","","","","false",""
"38367-C-004","C-004","le Prayer","","Saint-Bernard","38367","Auto-stop","2017-10-17","true","810157982","5.8976840","45.3248750","","","","","","false",""
"38367-C-005","C-005","La Bâtie","","Saint-Bernard","38367","Auto-stop","2017-10-17","true","810157982","5.9054300","45.3442300","","","","","","false",""
"38367-C-006","C-006","Le Guillot","","Saint-Bernard","38367","Auto-stop","2017-10-17","true","810157982","5.9020600","45.3380700","","","","","","false",""
"38367-C-007","C-007","Le Pelloux","","Saint-Bernard","38367","Auto-stop","2017-10-17","true","810157982","5.9033500","45.3298500","","","","","","false",""
"38367-C-008","C-008","Le Pelloux","","Saint-Bernard","38367","Auto-stop","2017-10-17","true","810157982","5.9010100","45.3273900","","","","","","false",""
"17312-C-001","C-001","Place de la Salle des Fêtes","","Saint-Bonnet-sur-Gironde","17312","Auto-stop","2020-02-28","true","810157982","-0.6575810","45.3545200","","","","","","true",""
"17312-C-002","C-002","Place du 8 Mai 1945","","Saint-Bonnet-sur-Gironde","17312","Auto-stop","2020-02-28","true","810157982","-0.6607800","45.3550600","","","","","","true",""
"17312-C-003","C-003","Place de la Supérette","Rue de la Mairie","Saint-Bonnet-sur-Gironde","17312","Auto-stop","2020-02-28","true","810157982","-0.6589970","45.3531250","","","","","","true",""
"17313-C-001","C-001","CENTRE BOURG","RUE DE LA VALLEE","Saint-Bris-des-Bois","17313","Auto-stop","2019-08-23","true","810157982","-0.4905458","45.7665120","","","","","","true",""
"73229-C-001","C-001","Sortie de la commune direction Chambéry","","Saint-Christophe-La-Grotte","73229","Auto-stop","2019-06-20","true","810157982","5.7639900","45.4462000","","","","","","true",""
